,date,close,date,close
0,2013-02-08,44.4916666667,2013-02-08,68.43833
1,2013-02-11,44.3055555556,2013-02-11,68.497
2,2013-02-12,44.1467777778,2013-02-12,69.16266
3,2013-02-13,44.2355555556,2013-02-13,69.44466
4,2013-02-14,44.2866666667,2013-02-14,69.76133
5,2013-02-15,44.2433333333,2013-02-15,70.21466
6,2013-02-19,44.2856111111,2013-02-19,70.23133
7,2013-02-20,43.5972222222,2013-02-20,69.72333
8,2013-02-21,43.1827777778,2013-02-21,69.26866
9,2013-02-22,43.7577777778,2013-02-22,69.97566
10,2013-02-25,42.9977777778,2013-02-25,68.91233
11,2013-02-26,43.2911111111,2013-02-26,69.362
12,2013-02-27,43.9222222222,2013-02-27,70.29933
13,2013-02-28,44.035,2013-02-28,70.06133
14,2013-03-01,44.2911111111,2013-03-01,70.25333
15,2013-03-04,44.4783333333,2013-03-04,70.92933
16,2013-03-05,44.8144444444,2013-03-05,71.47766
17,2013-03-06,44.7022222222,2013-03-06,71.18733
18,2013-03-07,44.5083333333,2013-03-07,71.19033
19,2013-03-08,44.715,2013-03-08,71.59966
20,2013-03-11,44.7633333333,2013-03-11,71.907
21,2013-03-12,44.8630555556,2013-03-12,71.37133
22,2013-03-13,44.85,2013-03-13,71.41233
23,2013-03-14,44.9977777778,2013-03-14,71.74599
24,2013-03-15,44.5677777778,2013-03-15,71.51666
25,2013-03-18,44.21,2013-03-18,71.12066
26,2013-03-19,43.9883333333,2013-03-19,71.52433
27,2013-03-20,44.4427777778,2013-03-20,72.57766
28,2013-03-21,44.2266666667,2013-03-21,71.99566
29,2013-03-22,44.46,2013-03-22,72.46466
30,2013-03-25,44.265,2013-03-25,71.522
31,2013-03-26,44.6888888889,2013-03-26,72.41399
32,2013-03-27,44.8316666667,2013-03-27,72.43066
33,2013-03-28,45.2083888889,2013-03-28,73.11799
34,2013-04-01,45.2777777778,2013-04-01,72.30266
35,2013-04-02,45.2411111111,2013-04-02,72.61033
36,2013-04-03,44.84,2013-04-03,71.52733
37,2013-04-04,45.1233333333,2013-04-04,72.85833
38,2013-04-05,44.8811111111,2013-04-05,72.52066
39,2013-04-08,45.2227777778,2013-04-08,73.20733
40,2013-04-09,45.2133333333,2013-04-09,73.36599
41,2013-04-10,45.83,2013-04-10,73.90199
42,2013-04-11,46.2797777778,2013-04-11,74.23833
43,2013-04-12,45.9155555556,2013-04-12,74.03266
44,2013-04-15,44.7211111111,2013-04-15,72.63199
45,2013-04-16,45.3311111111,2013-04-16,74.99966
46,2013-04-17,44.8444444444,2013-04-17,74.13733
47,2013-04-18,44.2588888889,2013-04-18,74.17633
48,2013-04-19,44.2983333333,2013-04-19,75.09433
49,2013-04-22,44.2411111111,2013-04-22,75.202
50,2013-04-23,44.6316666667,2013-04-23,75.87066
51,2013-04-24,44.7172222222,2013-04-24,75.66799
52,2013-04-25,45.205,2013-04-25,76.08299
53,2013-04-26,45.1323333333,2013-04-26,75.69833
54,2013-04-29,45.3383333333,2013-04-29,75.96666
55,2013-04-30,45.6511111111,2013-04-30,76.16333
56,2013-05-01,45.4061111111,2013-05-01,75.11566
57,2013-05-02,46.1055555556,2013-05-02,75.54433
58,2013-05-03,46.9894444444,2013-05-03,76.79166
59,2013-05-06,47.0205555556,2013-05-06,76.66366
60,2013-05-07,47.0277777778,2013-05-07,77.52999
61,2013-05-08,47.3761111111,2013-05-08,77.43533
62,2013-05-09,47.3172222222,2013-05-09,76.95099
63,2013-05-10,47.3383333333,2013-05-10,77.76866
64,2013-05-13,47.0911111111,2013-05-13,77.95833
65,2013-05-14,47.5961111111,2013-05-14,79.02533
66,2013-05-15,47.8044444444,2013-05-15,79.26899
67,2013-05-16,47.6277777778,2013-05-16,78.54966
68,2013-05-17,47.9522222222,2013-05-17,79.72466
69,2013-05-20,47.5483333333,2013-05-20,79.36799
70,2013-05-21,47.5338888889,2013-05-21,79.79666
71,2013-05-22,47.0816666667,2013-05-22,78.47299
72,2013-05-23,47.1227777778,2013-05-23,78.27133
73,2013-05-24,46.9394444444,2013-05-24,78.35533
74,2013-05-28,47.1611111111,2013-05-28,78.85266
75,2013-05-29,46.7533333333,2013-05-29,77.14766
76,2013-05-30,47.07,2013-05-30,76.87966
77,2013-05-31,46.7216666667,2013-05-31,76.25533
78,2013-06-03,46.8894444444,2013-06-03,76.69966
79,2013-06-04,46.8088888889,2013-06-04,76.50333
80,2013-06-05,46.0611111111,2013-06-05,75.11366
81,2013-06-06,46.4516666667,2013-06-06,75.50766
82,2013-06-07,46.9335555556,2013-06-07,76.89433
83,2013-06-10,46.8883333333,2013-06-10,76.48833
84,2013-06-11,46.3427777778,2013-06-11,76.10466
85,2013-06-12,45.9455555556,2013-06-12,75.35866
86,2013-06-13,46.5983333333,2013-06-13,76.14733
87,2013-06-14,46.44,2013-06-14,76.09733
88,2013-06-17,46.5555555556,2013-06-17,76.525
89,2013-06-18,46.7875,2013-06-18,77.11966
90,2013-06-19,46.1844444444,2013-06-19,75.65
91,2013-06-20,44.8486666667,2013-06-20,74.043
92,2013-06-21,44.7848888889,2013-06-21,74.47233
93,2013-06-24,44.1388888889,2013-06-24,73.954
94,2013-06-25,44.8634444444,2013-06-25,74.66533
95,2013-06-26,44.955,2013-06-26,74.75466
96,2013-06-27,45.5377777778,2013-06-27,74.989
97,2013-06-28,45.32,2013-06-28,74.544
98,2013-07-01,45.8688888889,2013-07-01,75.27366
99,2013-07-02,46.0427777778,2013-07-02,75.577
100,2013-07-03,45.8588888889,2013-07-03,75.60266
101,2013-07-05,46.2966666667,2013-07-05,76.048
102,2013-07-08,46.4762222222,2013-07-08,76.35666
103,2013-07-09,46.9538888889,2013-07-09,77.44666
104,2013-07-10,47.6038888889,2013-07-10,77.473
105,2013-07-11,48.275,2013-07-11,78.41833
106,2013-07-12,48.6605555556,2013-07-12,78.614
107,2013-07-15,48.4561111111,2013-07-15,78.59866
108,2013-07-16,48.4938888889,2013-07-16,78.163
109,2013-07-17,48.6205555556,2013-07-17,78.34033
110,2013-07-18,48.3972222222,2013-07-18,78.239
111,2013-07-19,48.445,2013-07-19,78.469
112,2013-07-22,48.4227777778,2013-07-22,78.40533
113,2013-07-23,48.0033333333,2013-07-23,78.078
114,2013-07-24,47.6461111111,2013-07-24,77.59166
115,2013-07-25,47.35,2013-07-25,77.55933
116,2013-07-26,47.5911111111,2013-07-26,77.59
117,2013-07-29,47.2105555556,2013-07-29,77.438
118,2013-07-30,47.3038888889,2013-07-30,77.802
119,2013-07-31,47.0305555556,2013-07-31,78.264
120,2013-08-01,47.7577777778,2013-08-01,79.716
121,2013-08-02,47.4305555556,2013-08-02,79.676
122,2013-08-05,47.535,2013-08-05,79.503
123,2013-08-06,47.155,2013-08-06,78.992
124,2013-08-07,46.735,2013-08-07,78.39
125,2013-08-08,46.8383333333,2013-08-08,78.438
126,2013-08-09,46.8011111111,2013-08-09,78.193
127,2013-08-12,46.9561111111,2013-08-12,77.925
128,2013-08-13,47.03,2013-08-13,77.916
129,2013-08-14,46.955,2013-08-14,77.09
130,2013-08-15,46.5088888889,2013-08-15,75.909
131,2013-08-16,46.2944444444,2013-08-16,75.811
132,2013-08-19,46.0227777778,2013-08-19,75.374
133,2013-08-20,46.4316666667,2013-08-20,75.624
134,2013-08-21,46.2011111111,2013-08-21,74.77
135,2013-08-22,46.4633333333,2013-08-22,75.281
136,2013-08-23,46.6738888889,2013-08-23,75.588
137,2013-08-26,46.7534444444,2013-08-26,75.01
138,2013-08-27,45.9028888889,2013-08-27,73.72
139,2013-08-28,46.0388888889,2013-08-28,73.668
140,2013-08-29,46.2666666667,2013-08-29,73.704
141,2013-08-30,45.9644444444,2013-08-30,73.806
142,2013-09-03,46.3405555556,2013-09-03,74.283
143,2013-09-04,46.9588888889,2013-09-04,75.052
144,2013-09-05,47.1977777778,2013-09-05,75.525
145,2013-09-06,47.4644444444,2013-09-06,75.486
146,2013-09-09,47.7022222222,2013-09-09,76.64
147,2013-09-10,48.3144444444,2013-09-10,77.598
148,2013-09-11,48.3866666667,2013-09-11,77.838
149,2013-09-12,48.0666111111,2013-09-12,77.741
150,2013-09-13,48.0172222222,2013-09-13,77.815
151,2013-09-16,48.4183333333,2013-09-16,78.61
152,2013-09-17,48.6888888889,2013-09-17,78.757
153,2013-09-18,49.2984444444,2013-09-18,80.071
154,2013-09-19,49.2066666667,2013-09-19,79.994
155,2013-09-20,49.1011111111,2013-09-20,79.153
156,2013-09-23,48.89,2013-09-23,78.688
157,2013-09-24,49.2025555556,2013-09-24,78.53
158,2013-09-25,49.4866666667,2013-09-25,78.179
159,2013-09-26,49.975,2013-09-26,78.593
160,2013-09-27,49.7655555556,2013-09-27,77.915
161,2013-09-30,49.8316666667,2013-09-30,77.472
162,2013-10-01,50.2705555556,2013-10-01,78.154
163,2013-10-02,50.4785555556,2013-10-02,78.049
164,2013-10-03,50.1561111111,2013-10-03,77.512
165,2013-10-04,50.5283333333,2013-10-04,77.813
166,2013-10-07,50.19,2013-10-07,76.945
167,2013-10-08,49.2844444444,2013-10-08,76.111
168,2013-10-09,49.2733333333,2013-10-09,75.826
169,2013-10-10,50.2935555556,2013-10-10,77.236
170,2013-10-11,50.875,2013-10-11,77.531
171,2013-10-14,51.1533333333,2013-10-14,77.743
172,2013-10-15,50.725,2013-10-15,76.966
173,2013-10-16,51.3615555556,2013-10-16,77.877
174,2013-10-17,51.7788888889,2013-10-17,78.985
175,2013-10-18,52.3641111111,2013-10-18,79.098
176,2013-10-21,52.4172222222,2013-10-21,79.008
177,2013-10-22,52.3927777778,2013-10-22,79.918
178,2013-10-23,51.8901111111,2013-10-23,79.938
179,2013-10-24,52.2683333333,2013-10-24,79.83
180,2013-10-25,52.6594444444,2013-10-25,80.629
181,2013-10-28,52.8411111111,2013-10-28,81.073
182,2013-10-29,53.3072222222,2013-10-29,81.773
183,2013-10-30,53.1338888889,2013-10-30,81.368
184,2013-10-31,52.8122222222,2013-10-31,81.087
185,2013-11-01,52.7433333333,2013-11-01,81.322
186,2013-11-04,52.9594444444,2013-11-04,81.792
187,2013-11-05,53.1738888889,2013-11-05,81.325
188,2013-11-06,53.5,2013-11-06,82.016
189,2013-11-07,52.5277777778,2013-11-07,80.324
190,2013-11-08,53.145,2013-11-08,81.175
191,2013-11-11,53.22,2013-11-11,81.379
192,2013-11-12,53.1383333333,2013-11-12,81.148
193,2013-11-13,53.4172222222,2013-11-13,81.441
194,2013-11-14,53.1072222222,2013-11-14,81.791
195,2013-11-15,53.0438888889,2013-11-15,81.265
196,2013-11-18,52.6311111111,2013-11-18,80.739
197,2013-11-19,52.2011111111,2013-11-19,80.317
198,2013-11-20,51.7755555556,2013-11-20,79.845
199,2013-11-21,52.0133333333,2013-11-21,80.298
200,2013-11-22,52.1933333333,2013-11-22,80.755
201,2013-11-25,52.105,2013-11-25,80.465
202,2013-11-26,52.5472222222,2013-11-26,80.564
203,2013-11-27,52.73,2013-11-27,80.69
204,2013-11-29,52.7038888889,2013-11-29,80.608
205,2013-12-02,52.8511111111,2013-12-02,80.246
206,2013-12-03,52.9472222222,2013-12-03,79.851
207,2013-12-04,52.6483333333,2013-12-04,79.405
208,2013-12-05,52.6911111111,2013-12-05,78.919
209,2013-12-06,53.2988888889,2013-12-06,79.899
210,2013-12-09,53.1622222222,2013-12-09,80.141
211,2013-12-10,53.2261111111,2013-12-10,79.854
212,2013-12-11,52.6844444444,2013-12-11,79.262
213,2013-12-12,52.4811111111,2013-12-12,78.66
214,2013-12-13,52.7266666667,2013-12-13,78.49
215,2013-12-16,53.0505555556,2013-12-16,78.889
216,2013-12-17,53.0872222222,2013-12-17,78.211
217,2013-12-18,53.6955555556,2013-12-18,80.009
218,2013-12-19,53.7533333333,2013-12-19,79.67
219,2013-12-20,54.7205555556,2013-12-20,79.636
220,2013-12-23,55.0,2013-12-23,79.881
221,2013-12-24,55.1366666667,2013-12-24,80.21
222,2013-12-26,55.1188888889,2013-12-26,80.601
223,2013-12-27,55.0272222222,2013-12-27,80.627
224,2013-12-30,55.4494444444,2013-12-30,80.808
225,2013-12-31,55.765,2013-12-31,80.734
226,2014-01-02,55.2411111111,2014-01-02,79.896
227,2014-01-03,55.2522222222,2014-01-03,80.063
228,2014-01-06,54.7927777778,2014-01-06,79.758
229,2014-01-07,55.6844444444,2014-01-07,80.002
230,2014-01-08,55.8394444444,2014-01-08,79.965
231,2014-01-09,55.525,2014-01-09,80.299
232,2014-01-10,56.0194444444,2014-01-10,81.384
233,2014-01-13,55.3883333333,2014-01-13,80.54
234,2014-01-14,56.3561111111,2014-01-14,81.34
235,2014-01-15,56.5616666667,2014-01-15,81.415
236,2014-01-16,56.2022222222,2014-01-16,81.658
237,2014-01-17,56.0533333333,2014-01-17,81.077
238,2014-01-21,56.08,2014-01-21,81.224
239,2014-01-22,56.2522222222,2014-01-22,81.016
240,2014-01-23,56.0983333333,2014-01-23,79.743
241,2014-01-24,54.5111111111,2014-01-24,77.359
242,2014-01-27,54.0688888889,2014-01-27,77.045
243,2014-01-28,53.7661111111,2014-01-28,77.331
244,2014-01-29,53.6344444444,2014-01-29,76.487
245,2014-01-30,54.2422222222,2014-01-30,76.849
246,2014-01-31,54.0294444444,2014-01-31,76.536
247,2014-02-03,52.6477777778,2014-02-03,74.313
248,2014-02-04,52.695,2014-02-04,74.595
249,2014-02-05,52.445,2014-02-05,74.741
250,2014-02-06,53.1394444444,2014-02-06,75.821
251,2014-02-07,53.1594444444,2014-02-07,76.532
252,2014-02-10,53.2616666667,2014-02-10,76.778
253,2014-02-11,53.7492222222,2014-02-11,77.808
254,2014-02-12,53.7227777778,2014-02-12,78.016
255,2014-02-13,53.9872222222,2014-02-13,78.408
256,2014-02-14,54.3,2014-02-14,79.082
257,2014-02-18,54.4083333333,2014-02-18,79.229
258,2014-02-19,54.2772222222,2014-02-19,79.047
259,2014-02-20,54.8855555556,2014-02-20,79.313
260,2014-02-21,54.7266666667,2014-02-21,79.336
261,2014-02-24,54.9855555556,2014-02-24,79.841
262,2014-02-25,54.8616666667,2014-02-25,79.703
263,2014-02-26,55.1011111111,2014-02-26,80.174
264,2014-02-27,55.6688888889,2014-02-27,80.564
265,2014-02-28,55.8655555556,2014-02-28,81.331
266,2014-03-03,55.7166666667,2014-03-03,80.53
267,2014-03-04,56.1338888889,2014-03-04,81.372
268,2014-03-05,55.9344444444,2014-03-05,81.174
269,2014-03-06,55.8927777778,2014-03-06,81.162
270,2014-03-07,55.7833333333,2014-03-07,81.272
271,2014-03-10,55.4866666667,2014-03-10,81.074
272,2014-03-11,55.2766666667,2014-03-11,80.728
273,2014-03-12,55.3833333333,2014-03-12,80.674
274,2014-03-13,54.6233333333,2014-03-13,79.337
275,2014-03-14,54.6766666667,2014-03-14,79.438
276,2014-03-17,54.7855555556,2014-03-17,80.365
277,2014-03-18,55.36,2014-03-18,80.641
278,2014-03-19,54.94,2014-03-19,79.881
279,2014-03-20,55.2166666667,2014-03-20,80.101
280,2014-03-21,55.1916666667,2014-03-21,80.177
281,2014-03-24,54.8355555556,2014-03-24,80.008
282,2014-03-25,54.9144444444,2014-03-25,80.719
283,2014-03-26,55.02,2014-03-26,80.222
284,2014-03-27,55.0777777778,2014-03-27,80.077
285,2014-03-28,55.4211111111,2014-03-28,80.466
286,2014-03-31,55.8244444444,2014-03-31,81.197
287,2014-04-01,56.1277777778,2014-04-01,81.196
288,2014-04-02,56.1833333333,2014-04-02,81.603
289,2014-04-03,55.8988888889,2014-04-03,81.929
290,2014-04-04,54.9066666667,2014-04-04,81.237
291,2014-04-07,53.8822222222,2014-04-07,79.974
292,2014-04-08,54.4633333333,2014-04-08,81.016
293,2014-04-09,55.23,2014-04-09,82.024
294,2014-04-10,53.63,2014-04-10,80.518
295,2014-04-11,52.97,2014-04-11,79.989
296,2014-04-14,53.3588888889,2014-04-14,80.238
297,2014-04-15,53.5855555556,2014-04-15,80.74
298,2014-04-16,54.17,2014-04-16,81.501
299,2014-04-17,54.3511111111,2014-04-17,81.961
300,2014-04-21,54.45,2014-04-21,81.754
301,2014-04-22,54.5788888889,2014-04-22,81.877
302,2014-04-23,54.2122222222,2014-04-23,82.071
303,2014-04-24,54.7822222222,2014-04-24,81.909
304,2014-04-25,54.2366666667,2014-04-25,81.072
305,2014-04-28,54.0811111111,2014-04-28,81.503
