,date,close,date,close
0,2013-02-08,44.4916666667,2013-02-08,68.43833
1,2013-02-11,44.3055555556,2013-02-11,68.497
2,2013-02-12,44.1467777778,2013-02-12,69.16266
3,2013-02-13,44.2355555556,2013-02-13,69.44466
4,2013-02-14,44.2866666667,2013-02-14,69.76133
5,2013-02-15,44.2433333333,2013-02-15,70.21466
6,2013-02-19,44.2856111111,2013-02-19,70.23133
7,2013-02-20,43.5972222222,2013-02-20,69.72333
8,2013-02-21,43.1827777778,2013-02-21,69.26866
9,2013-02-22,43.7577777778,2013-02-22,69.97566
10,2013-02-25,42.9977777778,2013-02-25,68.91233
11,2013-02-26,43.2911111111,2013-02-26,69.362
12,2013-02-27,43.9222222222,2013-02-27,70.29933
13,2013-02-28,44.035,2013-02-28,70.06133
14,2013-03-01,44.2911111111,2013-03-01,70.25333
15,2013-03-04,44.4783333333,2013-03-04,70.92933
16,2013-03-05,44.8144444444,2013-03-05,71.47766
17,2013-03-06,44.7022222222,2013-03-06,71.18733
18,2013-03-07,44.5083333333,2013-03-07,71.19033
19,2013-03-08,44.715,2013-03-08,71.59966
20,2013-03-11,44.7633333333,2013-03-11,71.907
21,2013-03-12,44.8630555556,2013-03-12,71.37133
22,2013-03-13,44.85,2013-03-13,71.41233
23,2013-03-14,44.9977777778,2013-03-14,71.74599
24,2013-03-15,44.5677777778,2013-03-15,71.51666
25,2013-03-18,44.21,2013-03-18,71.12066
26,2013-03-19,43.9883333333,2013-03-19,71.52433
27,2013-03-20,44.4427777778,2013-03-20,72.57766
28,2013-03-21,44.2266666667,2013-03-21,71.99566
29,2013-03-22,44.46,2013-03-22,72.46466
